;;04.01.2022;0не удовлетворительно
Пигута;УРЛС;04.01.2022;0не удовлетворительно
;;04.01.2022;0не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
сидоров;урлс;04.01.2022;14 не удовлетворительно
;;04.01.2022;0 не удовлетворительно
;;04.01.2022;1 не удовлетворительно
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;04.01.2022
;;06.01.2022
Привет;Пока;06.01.2022;2 не удовлетворительно
;;06.01.2022;0 не удовлетворительно
цвйцй;;06.01.2022
crecre;crerecre;06.01.2022
Ghbdtn;Ghbdn;06.01.2022;0 не удовлетворительно
алуьлуь;лсьлуьцл;07.01.2022;0 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;0 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;0 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;0 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;0 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;0 не удовлетворительно
ghbdtn;ghbdtn;07.01.2022;0 не удовлетворительно
ghbdtn;ghbdtn;07.01.2022;0 не удовлетворительно
ghfdbtn;ghbfdtn;07.01.2022;0 не удовлетворительно
ghbfdtn;ghbdfnt;07.01.2022;0 не удовлетворительно
ghbdtn;ghbdtn;07.01.2022;0 не удовлетворительно
ghfhc;ghjghjg;07.01.2022;0 не удовлетворительно
hjghghf;hkjhkjhkjh;07.01.2022;0 не удовлетворительно
bhjgkg;jhggjkh;07.01.2022;0 не удовлетворительно
оаоаоа;оаоаоао;07.01.2022;0 не удовлетворительно
ghfbtn;gbgbm;07.01.2022;7 не удовлетворительно
Ghbdtn;Ghbdtn;07.01.2022;1 не удовлетворительно
ffdfd;ndcwk;07.01.2022;0 не удовлетворительно
привет;Привет;07.01.2022;0 не удовлетворительно
Ghbdn;Ghbdtn;07.01.2022;20 удовлетворительно
авдлао;алоавлао;08.01.2022;7 не удовлетворительно
ghbdtn;ghbdtn;08.01.2022;0 не удовлетворительно
ghbdtn;ghbdtn;08.01.2022;19 удовлетворительно
ghbdtn;ghbdtn;09.01.2022;18 удовлетворительно
